name,lat,lng,municipality,ngbe_type,ngbe_code,source,date,arcgis_objectid
Barrio,43.009888,-4.229796,HERMANDAD DE CAMPOO DE SUSO,NGBE,2.1.4,https://pares.cultura.gob.es/catastro/servlets/ServletController?mapas=0&accion=1&volver=0&txtBusqueda=Barrio&tipo=0&tipolocal=-1&provact=39&Buscar=Buscar,1749-1753,13370
Barrio,43.072300,-4.673877,VEGA DE LIÉBANA,NGBE,2.1.4,,,13371
Barrio de Abajo,43.264893,-4.248413,RUENTE,NGBE,2.1.6,,,5397
Barrio de Arriba,43.341491,-3.676084,RIOTUERTO,NGBE,2.1.9,,,5398
Barrio de Arriba,43.258484,-4.245788,RUENTE,NGBE,2.1.6,,,5399
Barrio de la Iglesia,43.380330,-4.252223,RUILOBA,NGBE,2.1.9,,,771
Barrio de la Iglesia,43.380330,-4.252223,RUILOBA,NGBE,2.1.3,,,13981
Barrio de las Cuevas,43.328771,-4.350005,VALDÁLIGA,NGBE,2.1.6,,,571
Barrio Obrero,43.379048,-4.037600,POLANCO,NGBE,2.1.9,,,868
Barrio San Pedro,43.329415,-4.324701,VALDÁLIGA,NGBE,2.1.6,,,4412
Barriopalacio,43.196106,-4.013977,ANIEVAS,NGBE,2.1.9,,,5402
Barriopalacio,42.900513,-4.183898,VALDEOLEA,NGBE,2.1.4,,,13372
Barros,43.282898,-4.077210,CORRALES DE BUELNA (LOS),NGBE,2.1.9,,,5403
Barruelo,42.908509,-4.067078,VALDEPRADO DEL RÍO,NGBE,2.1.4,,,13373
Barruelo,43.280092,-3.499079,RUESGA,NGBE,2.1.4,,,13374
Beares,43.156128,-4.669617,CAMALEÑO,NGBE,2.1.9,,,5409
Bedicó,43.321899,-4.091187,CARTES,NGBE,2.1.9,,,5411
Bedoya,43.192689,-4.583131,CILLORIGO DE LIÉBANA,NGBE,2.1.5,,,897
Bejes,43.242920,-4.646424,CILLORIGO DE LIÉBANA,NGBE,2.1.4,,,13376
Bejo,43.090271,-4.699279,VEGA DE LIÉBANA,Histórico,2.1.9,,,322679
Belmonte,43.107910,-4.444580,POLACIONES,NGBE,2.1.4,,,13377
Beranga,43.413706,-3.579252,HAZAS DE CESTO,NGBE,2.1.4,,,13378
Beranga,43.413706,-3.579252,HAZAS DE CESTO,NGBE,2.1.3,,,13987
Bercedo,42.866795,-4.192117,VALDEOLEA,NGBE,2.1.9,,,5419
Berezales,43.404296,-3.573299,HAZAS DE CESTO,NGBE,2.1.6,,,5550
Bernales,43.336043,-3.408955,AMPUERO,NGBE,2.1.9,,,902
Berzosa,43.009050,-4.146805,CAMPOO DE ENMEDIO,Autonómico,2.1.6,,,316340
Besoy,43.129883,-4.720703,CAMALEÑO,NGBE,2.1.9,,,5432
Bezana,43.444518,-3.895509,SANTA CRUZ DE BEZANA,NGBE,2.1.4,,,13380
Bielva,43.315125,-4.464478,HERRERÍAS,NGBE,2.1.4,,,13382
Bimón,42.989502,-3.968812,ROZAS DE VALDEARROYO (LAS),NGBE,2.1.4,,,13383
Birruezas,43.291523,-4.326217,VALDÁLIGA,NGBE,2.1.6,,,906
Bodia,43.141231,-4.674706,CAMALEÑO,NGBE,2.1.9,,,5447
Bollacín,43.084693,-3.891590,LUENA,NGBE,2.1.9,,,5450
Bolmir,42.989319,-4.125915,CAMPOO DE ENMEDIO,NGBE,2.1.4,,,13384
Boo,43.409117,-3.841186,ASTILLERO (EL),NGBE,2.1.9,,,912
Boo,43.431091,-3.945985,PIÉLAGOS,NGBE,2.1.4,,,13385
Bores,43.094299,-4.666809,VEGA DE LIÉBANA,NGBE,2.1.4,,,13386
Borleña,43.235900,-3.952088,CORVERA DE TORANZO,NGBE,2.1.4,,,13387
Bostronizo,43.204895,-4.046509,ARENAS DE IGUÑA,NGBE,2.1.4,,,13388
Brez,43.162476,-4.697998,CAMALEÑO,NGBE,2.1.4,,,13389
Bucarrero,43.353880,-3.761106,LIÉRGANES,NGBE,2.1.6,,,918
Buelles,43.330308,-4.540867,Varios o fuera de Cantabria,NGBE,2.1.5,,,188323
Bueras,43.340087,-3.479124,VOTO,NGBE,2.1.4,,,13390
Bulco,43.310730,-3.447996,AMPUERO,NGBE,2.1.9,,,5559
Burió,43.256326,-4.520996,LAMASÓN,NGBE,2.1.9,,,368
Bustablado,43.280883,-3.653990,ARREDONDO,NGBE,2.1.6,,,5571
Bustablado,43.335083,-4.211487,CABEZÓN DE LA SAL,NGBE,2.1.4,https://pares.cultura.gob.es/catastro/servlets/ServletController?mapas=0&accion=1&volver=0&txtBusqueda=Bustablado&tipo=0&tipolocal=-1&provact=39&Buscar=Buscar,1749-1753,13391
Bustaleguín,43.112773,-3.796549,SAN PEDRO DEL ROMERAL,NGBE,2.1.9,,,921
Bustamante,43.006714,-4.007813,CAMPOO DE YUSO,NGBE,2.1.4,,,13392
Bustancillés,43.177917,-3.553404,SOBA,NGBE,2.1.4,,,13393
Bustantegua,43.214905,-3.755981,SELAYA,NGBE,2.1.9,,,5577
Bustasur,43.124329,-3.903687,LUENA,NGBE,2.1.9,,,5582
Bustasur,42.935730,-4.031922,ROZAS DE VALDEARROYO (LAS),NGBE,2.1.4,,,13394
Bustidoño,42.921876,-3.989503,VALDEPRADO DEL RÍO,NGBE,2.1.9,,,5583
Bustillo,43.317343,-4.350154,VALDÁLIGA,NGBE,2.1.6,,,922
Bustillo del Monte,42.853516,-4.009278,VALDERREDIBLE,NGBE,2.1.4,,,13395
Bustio,43.375119,-4.519729,Varios o fuera de Cantabria,Autonómico,2.1.6,,,19944
Bustiyerro,43.111584,-3.833631,SAN PEDRO DEL ROMERAL,NGBE,2.1.9,https://pares.cultura.gob.es/catastro/servlets/ServletController?mapas=0&accion=1&volver=0&txtBusqueda=Bustiyerro&tipo=0&tipolocal=-1&provact=39&Buscar=Buscar,1749-1753,5589
Bustriguado,43.295898,-4.349182,VALDÁLIGA,NGBE,2.1.6,,,5592
Buyezo,43.119324,-4.510498,CABEZÓN DE LIÉBANA,NGBE,2.1.4,,,13396
Cabañas de la Sierra,43.308715,-3.287294,GURIEZO,NGBE,2.1.9,,,4476
Cabañes,43.212525,-4.617127,CILLORIGO DE LIÉBANA,NGBE,2.1.4,,,13398
Cabanzón,43.321473,-4.498292,HERRERÍAS,NGBE,2.1.4,,,13397
Cabárceno,43.358275,-3.822875,PENAGOS,NGBE,2.1.4,,,13399
Cabezón de la Sal,43.308896,-4.236798,CABEZÓN DE LA SAL,NGBE,2.1.9,,,950
Cabezón de la Sal,43.308896,-4.236798,CABEZÓN DE LA SAL,NGBE,2.1.3,,,14011
Cabezón de Liébana,43.133615,-4.575340,CABEZÓN DE LIÉBANA,NGBE,2.1.3,,,13292
Cabezón de Liébana,43.133615,-4.575340,CABEZÓN DE LIÉBANA,NGBE,2.1.4,,,13400
Caborredondo,43.398674,-4.155325,ALFOZ DE LLOREDO,NGBE,2.1.6,https://pares.cultura.gob.es/catastro/servlets/ServletController?accion=4&opcionV=3&orden=0&loc=10497&pageNum=1,1749-1753,5628
Cabrojo,43.329285,-4.194214,CABEZÓN DE LA SAL,NGBE,2.1.9,https://pares.cultura.gob.es/catastro/servlets/ServletController?mapas=0&accion=1&volver=0&txtBusqueda=Cabrojo&tipo=0&tipolocal=-1&provact=39&Buscar=Buscar,1749-1753,951
Cabrojo,43.254795,-4.399052,RIONANSA,NGBE,2.1.6,,,5636
Cabrojo,43.329285,-4.194214,CABEZÓN DE LA SAL,NGBE,2.1.4,https://pares.cultura.gob.es/catastro/servlets/ServletController?mapas=0&accion=1&volver=0&txtBusqueda=Cabrojo&tipo=0&tipolocal=-1&provact=39&Buscar=Buscar,1749-1753,13402
Caceo,43.153502,-4.048148,MOLLEDO,NGBE,2.1.6,,,5639
